Location,lat,lng
Cohuna,-35.8,144.2
Merredin,-31.482,118.279
Deloraine,-41.5333,146.6667
Evans Head,-29.115,153.4344
Rosewood,-27.6333,152.583
Greta,-32.6872,151.3844
Wollongbar,-28.815,153.4011
Donnybrook,-33.58,115.82
McCrae,-38.3497,144.9281
Angle Vale,-34.642,138.647
Bridgetown,-33.9583,116.1381
North Wonthaggi,-38.6,145.6
Heathcote,-36.9167,144.7
Howlong,-35.9817,146.6344
Williamstown,-34.6721,138.8884
Harvey,-33.08,115.89
Coonamble,-30.9317,148.3678
Uralla,-30.6472,151.4956
Bundanoon,-34.6556,150.2994
Cloncurry,-20.7,140.5
Tolga,-17.223,145.4788
Huonville,-43.0333,147.0333
Merbein,-34.1667,142.05
Alexandra,-37.1917,145.71
Waikerie,-34.1667,139.9833
Point Lonsdale,-38.2833,144.6
Hill Top,-34.3525,150.4917
Stirling North,-32.5167,137.8333
Hahndorf,-35.0303,138.8076
Berry,-34.7817,150.7011
Burnett Heads,-24.7667,152.4
Moore Park,-24.7108,152.2388
Burradoo,-34.5031,150.4089
Mannum,-34.9151,139.3044
Wooroloo,-31.803,116.314
Crookwell,-34.4567,149.4678
Appin,-34.2067,150.7844
Cooloola Cove,-25.9805,152.9944
Cooktown,-15.469,145.2515
Jindabyne,-36.415,148.6178
Maclean,-29.4567,153.2011
Stratford,-37.9667,147.083
Lawson,-33.7178,150.4322
Thursday Island,-10.5789,142.22
Woodside,-34.9531,138.8742
Narooma,-36.2,150.1333
Macksville,-30.7175,152.9172
Molong,-33.0981,148.8561
Grenfell,-33.9097,148.195
Yarrabah Aboriginal Community,-16.9094,145.8703
Denmark,-34.96,117.3531
Bonville,-30.3833,153.05
Walcha,-30.9833,151.6
Manilla,-30.7483,150.7178
Yarra Junction,-37.779,145.606
Daylesford,-37.35,144.15
York,-31.8883,116.7686
Anglesea,-38.4064,144.1869
Kambalda,-31.2,121.67
Lobethal,-34.9,138.8667
The Oaks,-34.0817,150.5678
Gulgong,-32.365,149.5344
Finley,-35.6317,145.5678
Capel,-33.557,115.57
Korora,-30.2503,153.1156
Exmouth,-21.9331,114.1281
Boonah,-27.9997,152.6816
Saint Leonards,-38.1667,144.7167
Vasse,-33.69,115.3
Aberdare,-32.8428,151.3803
Bunyip,-38.0833,145.717
Dodges Ferry,-42.8539,147.6194
Lancefield,-37.2667,144.7167
Palm Island,-18.7345,146.5794
Currie,-39.9311,143.851
